,S&P 500,iShares Global Tech ETF,iShares Global Healthcare ETF,FTSE 100,ESTX 50 PR.EUR,Nikkei 225,iShares MSCI Emerging Markets ETF,U.S. Treasury Bond Futures,ASI Asia Pacific ex-Japan Tracker Fund,Alphabet Inc.,Facebook Inc.,Microsoft Corporation,Snap Inc.,Spotify Technology S.A.,"Netflix, Inc.",Apple Inc.,"Datadog, Inc",MSCI World ESG Leaders,Lyxor Core FTSE Actuaries UK Gilts 0-5Y,Backtested strategy
2021-01-29,-0.0003123352886387166,-0.0004270038944868216,-0.0001934333709233082,-0.00029416884309677656,-0.00531682861526461,-0.004723842785227207,-0.0004023414667138075,-8.04802740928895e-05,-0.00022041238431784753,-0.000542881608145947,-0.0009301428737251022,-0.001078026688225692,-0.00020299497842214494,-0.0018207654587233252,-0.0004260802593462908,-0.0013828683184956342,0.0015608260578743594,-0.00031953188849408306,-4.470644320647596e-06,-0.01711778358278649
2021-02-01,0.0002596142128942039,0.0004429051800756905,9.262304819215435e-05,0.0001486728234920895,0.003550392626767049,0.003855965192299118,0.0004368765344416958,2.696091666530979e-05,0.00027502474372387997,0.001320771473845942,0.0005264347720485139,0.0012251253123919884,0.004192370572734087,0.003180228800274751,0.00046159191963790854,0.000610495840399366,-0.0005302867346988084,0.00024258421278546496,0.0,0.0203183514479704
2021-02-02,0.00022478374380283258,0.00022448658405888625,3.349219400208565e-05,0.0001258095438198615,0.004223358035025574,0.002407309441504279,0.00020973939213045158,-5.383209655177758e-05,0.00032893135875974194,0.0005084463624453645,0.0007150838374605988,-2.158738541752037e-05,0.002016917234581228,0.0021157205920968878,0.0006252338675502367,0.00023417213253378944,0.002353039666460262,0.00020912498589482486,-8.945549958246918e-06,0.016471283940199363
2021-02-03,1.631538525418557e-05,-5.2891594356306236e-05,-8.564179159467486e-05,-2.2089552999307782e-05,0.0013440086821621352,0.0025004782065391824,8.165596895229004e-05,-5.701252921962625e-05,0.00014143648297897863,0.0027331919022288804,-5.94961544417859e-05,0.0005384829375785978,0.0003760420498059205,-0.004572849936917067,-0.0005871887968549102,-0.00028744963646314787,0.0024146324391620976,6.267326191876376e-05,-4.474355178096755e-06,0.004479822968556109
2021-02-04,0.00017553684803135814,0.00020341236518216888,3.779832251090386e-05,-1.0188587774488611e-05,0.0022432940304771064,-0.002651721279888206,5.8021043280224205e-06,-3.6135291770870037e-05,-3.2841514188611366e-05,-0.0001374585694360669,-2.2174718650766742e-05,-0.00015055825600466096,-0.0009099709910737654,-0.0004562058645706909,0.000870686641387873,0.0009518750320891866,0.0007189675587026441,8.079479203471017e-05,-2.6859827092717487e-05,0.0008540527942931288
2021-02-05,6.30363692174625e-05,-1.3358805849709631e-05,3.5617325271166346e-05,-3.5811241138460274e-05,0.0009375498249192129,0.0038479562591415216,0.00013922766042845383,-7.243241354780458e-05,-1.2657218144814539e-05,0.0006384350078449062,0.00022326371560600554,2.9013028625264483e-05,0.005188608986931139,-0.0007087983379624776,-9.169020249906302e-05,-0.00011448779514153575,0.0015112313921916776,9.866317237511337e-05,-1.1210734827322427e-05,0.011652155993440737
2021-02-08,0.00011967379968900995,0.00015271655770332098,2.7173785559506725e-05,8.523861320128547e-05,0.0006664977698893195,0.005280801726179337,2.8757804749095412e-05,3.941072285719239e-05,9.120349722629139e-05,-8.96579306531815e-05,-0.00020951785997433273,4.119917869177954e-05,0.00012487192819360098,0.0023779183423856104,-0.0001925590706361502,4.053317472001591e-05,0.000750834503795835,9.443376148868727e-05,2.2444201198516e-06,0.009431774725186077
2021-02-09,-1.8009664762946465e-05,2.3941614335125448e-05,6.886888534190079e-05,2.0082382681116022e-05,-0.0002989312716616529,0.000996644354565983,0.0001722417250963722,0.0,-5.794163736949849e-05,-0.0001659746246242134,0.00039785699121916424,0.0001981291768632744,-0.0008721848004040241,0.0017897248711156873,0.0007520167828626532,-0.00024293286228876346,0.0006971564714291357,2.1666070839415045e-05,8.972845672408225e-06,0.003491327310911137
2021-02-10,-5.582866223659088e-06,-2.492175899097668e-05,-1.0391760603835488e-05,-1.782913871241146e-05,-0.0008718597533560625,0.0004818426921494662,5.680996289338142e-05,3.931492267073946e-05,8.722683495983656e-05,0.00021053261512365469,0.0003318967230858987,-0.0001440150359047405,-0.0001807754605586647,0.00029058401208625385,0.000298774159320286,-0.00016845427869781782,-0.0011076922713476418,-3.245508783738954e-05,-4.483038429065461e-06,-0.0007714785283727481
2021-02-11,2.688781699501646e-05,0.00022312446109151165,4.366767884232791e-05,1.0660144868183448e-05,0.0015983025540969474,0.0,0.00017266175485320602,-2.715202183846343e-05,0.00010687534490310217,8.994661532938143e-06,-0.0002011700963598335,0.00025415649720429457,-0.0003354995975385361,-0.0006441466095973557,-0.0003934203508760086,-7.096574854178901e-05,0.001006942459050192,8.310767036678806e-05,4.484281396778147e-06,0.0018675109004492997
