,S&P 500 return,iShares Global Tech ETF return,iShares Global Healthcare ETF return,FTSE 100 return,ESTX 50 PR.EUR return,Nikkei 225 return,iShares MSCI Emerging Markets ETF return,U.S. Treasury Bond Futures return,ASI Asia Pacific ex-Japan Tracker Fund return,Alphabet Inc. return,Facebook Inc. return,Microsoft Corporation return,Snap Inc. return,Spotify Technology S.A. return,"Netflix, Inc. return",Apple Inc. return,"Datadog, Inc return",MSCI World ESG Leaders return,Lyxor Core FTSE Actuaries UK Gilts 0-5Y return
2020-08-11,-0.007969132362766196,-0.01522840471832132,-0.004738562700182691,0.01713874744990629,0.022213680623838883,0.018822298281849337,-0.0027284602665033075,-0.011894500948112396,0.0017071414698948129,-0.010547443521916056,-0.02612165399239552,-0.023385234889078732,-0.019073569482288777,0.018996730410925533,-0.034031221461053196,-0.029739897040753194,-0.008970051960192404,-0.002910838892471679,-0.0012324843184048362
2020-08-12,0.013996549716919215,0.023116527401389586,0.01792454436523827,0.020441040733471416,0.009321337139539754,0.004119547883276287,0.013451894099254291,-0.0019190509420795587,0.000189320199129428,0.017766462629288826,0.014680084045600283,0.02856727896262745,0.012037083333333198,-0.0016948131732033023,0.018289696802578304,0.03323421918532521,0.012288596723044165,0.017515940048278278,-0.00041135335252984184
2020-08-13,-0.0020471743456673686,-0.000620139470729697,-0.0012381422292644384,-0.01504753085545485,-0.00604482496061709,0.017757359947381923,-0.0029247299750521094,-0.005418633106100357,0.0008519878914423629,0.007851983937064322,0.005425268069648492,-0.0023424513689669357,0.0018297803371554178,0.0014608196542529317,0.012324617720729902,0.017697536278941328,0.07583862321056478,-0.003651523270498558,0.0005487517146776089
2020-08-14,-0.00017188262738165871,-0.0016673924705955523,-0.0035813932882059474,-0.015455266503715648,-0.011307730796129789,0.0017097061442563621,-0.0018049354134161977,0.00017574692442878792,-0.0026483116623008396,-0.0070598118778562036,-0.00022961348165084772,0.0009582621114658796,-0.009588995433789771,-0.009224934806829177,0.0028047411058143012,-0.0008911872168917423,-0.014316913717954627,-0.0020942094240837816,0.0
2020-08-17,0.002709842339397195,0.008273643292805888,0.008708999960533426,0.006141199014778387,0.00024206864892772906,-0.008270273642939086,0.012658150614949681,0.0028114566859953616,0.006543404643245321,0.006798299520448525,-0.0003061782386378775,0.006606164308650797,0.00461041933561912,0.03417951918169426,-0.0006836558481512212,-0.0026107660784732145,0.027203336464877825,0.007082848675251219,0.0008225390281031419
2020-08-18,0.0023033891356964986,0.0019263627678653972,0.0,-0.0082905971231646,-0.004903490636132268,-0.0019773310963664414,-0.0011160347724641362,0.002628351147713426,-0.0015074053279386934,0.026759243557349155,0.004518272254276701,0.005754228977475462,-0.0009178980762781785,-0.011965741803459107,0.01973668266109674,0.00833281431897781,0.00011985620562704469,0.0015629226605302637,-0.00027391780821905964
2020-08-19,-0.004404395232809444,-0.0030761661584641775,-0.003426043642379195,0.005825609951138899,0.008505558331639573,0.002582494911239186,-0.012290529523405258,-0.002097168822090212,-0.004529184623631277,-0.0071024940141536375,0.0009529618198209633,-0.006066975618260417,0.006890215893431417,0.01915893002300284,-0.014922634181009475,0.0012547027477407546,-0.011861945984447009,-0.004161263979193808,-0.0002741024788106561
2020-08-20,0.0031586327364043765,0.009179693763325947,-0.0008250922606011235,-0.016148592113874427,-0.01315404882445148,-0.00995171655875049,-0.003167390220560451,0.005078809106830118,-0.011184834123222798,0.022112637789725165,0.02444881411247679,0.02327128572472814,-0.0041058394160585765,0.02907682244736054,0.027593740382625853,0.022189616092173958,0.040135782222192606,0.002611647990780508,0.0005482456140351033
2020-08-21,0.0034411069427024987,0.009057950807759951,-0.0016514496649574495,-0.00189578157911241,-0.004346385771118899,0.0017342904820654148,0.004993132850287019,0.0013939710751000867,0.0062308378067486014,-0.0008408130235498801,-0.007434667579842125,-0.0072699757952945365,-0.010535959688501961,0.006126402850195722,-0.011227146148549583,0.05153240180448759,0.003963674562411645,-0.0015629226605301527,0.00013704109589052216
2020-08-24,0.010043718248138989,0.008408287242620105,-0.002067953623184793,0.017127958592868975,0.022084512615998086,0.0028450318179966683,0.01106604366182573,-0.0008700191404210633,0.015909288216544804,0.004922683073741219,0.01640389811602927,0.0031452541825718328,-0.03379624999999997,-0.00682709397336323,-0.0071093417038424755,0.011960264612136617,-0.02066891474678645,0.008870399442851173,-0.00013702231820189592
